"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"AL191"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL363(Israel 14)"	"Israel"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL561"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL206"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL430(Israel36)"	"Israel"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL879"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL922"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL1018(Israel91)"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL134"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL149"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL178"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL104"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL182"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"AL199"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HJ2"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"SS1"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"PD1"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw92"	"France"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw31"	"Austria"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw49"	"Italy"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw64"	"Sweden"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw9"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw115"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw5"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw70"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF19"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF483"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF55"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF86"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF100"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF238"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF331"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF336"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF367"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF410"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF5"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF591"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"HCF73"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"BJ4"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"OY3"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"BJ2"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"FM4"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"SC1"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"NN5"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"OY15"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw64_2"	"Sweden"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw73_2"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw75_2"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	"Details"
"Zw73_1"	"Germany"	"Human"	"Cystic fibrosis"	"No"	"Burkhard Tümmler"	NA
