"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
2.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
4	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
5	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
6	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
7	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
8	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
9	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
10	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
11	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
12	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
13	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
14.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
14.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
15	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
16	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
17	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
18	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
19	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
20	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
21	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
22.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	"Details"
22.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Christian Allard, Maryse Bandet"	NA
