"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"18G"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"19SJO"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"19SJV"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"19R"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"19SV"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"32SP"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"32SB"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"34JS"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"57SJ"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"57RV"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"78RV"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"Rsan-ver"	"Switzerland"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PUPa3"	"India"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL501"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL502"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL504"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL505"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL506b"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL507"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL508"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL509"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL510"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL511"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL512"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL513"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL514"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL515"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL516"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL517"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL518"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL519"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL520"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL521a"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL521b"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL522b"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL524"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL527"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL528"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	NA
"PA-CL529"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL532"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL534a"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL534x"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL542a"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL542b"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL545b"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL547b"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	"Details"
"PA-CL549"	"Canada"	NA	NA	"Yes"	"Eric Déziel"	NA
