"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"PAC54A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC5A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC5B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC46A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC61A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC6A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC6B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC39A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC74A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC93A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC93B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC93C"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC9A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC10A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC10B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC107A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC11A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC79A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC79B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC106A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC13A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC13B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC13C"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
"PAC117A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"François Malouin"	"Details"
