"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"Mex2"	"Mexico"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"SWPA15J=NSWPA15a"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"59.2"	"United Kingdom"	"Plant"	NA	"Yes"	"Gabriel Perron"	"Details"
"Tu61"	"Tunisia"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp54"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp60"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp97"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp100"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp222"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp224"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp238"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp241"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp1140"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp1155"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp1170"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp1200"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp1206"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Jp1303"	"Japan"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W15Apr4"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W15Aug23"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W15Dec14"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W15Dec3"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W15Dec4"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W15Okt31"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W5Aug16"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"W5Aug28"	"Belgium"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Cotonu1"	"Benin"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"LMG2107"	"Puerto Rico"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"LMG5031"	"Puerto Rico"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"PT31M"	"Germany"	NA	NA	"Yes"	"Gabriel Perron"	"Details"
"Pae110"	"Canada"	NA	NA	"Yes"	"Gabriel Perron"	NA
