"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"A10"	"France"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"A11"	"France"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"A13"	"France"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"A15"	"France"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"A17"	"France"	"Human"	"Leg ulcer"	"No"	"Gabriel Perron"	"Details"
"A19"	"France"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"A22"	"France"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"CND03"	"Georgian Republic"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"CPHL2000"	"United Kingdom"	"Human"	"Wound"	"No"	"Gabriel Perron"	"Details"
"Lo049"	"United Kingdom"	"Human"	"Burn"	"No"	"Gabriel Perron"	"Details"
"Aa249"	"Germany"	"Human"	"Burn"	"No"	"Gabriel Perron"	"Details"
"Bo559"	"USA"	"Human"	"Burn"	"No"	"Gabriel Perron"	"Details"
