"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"S2239"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"S2239"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"S2820"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"MSB2949"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"S1983"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"MSB3405"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U0272B"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U0284"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U0288B"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U0306"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U0310A"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U0330A"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U350"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U372"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U397A"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U413A"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U421"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U435"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U451"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"U454A"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001B"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001C"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001-2A"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001-2B"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001-3A"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001-3B"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001-4"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"001-5A"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"001-5B"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"001-6"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-002C"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-003B"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-004"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-006"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-007-2"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-008"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-009B"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"010-4"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-013"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"014-2A"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-015A"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-018"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"020MIC"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-024-1"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	"Details"
"DUN-001A"	"New Zealand"	"Human"	"Cystic fibrosis"	"No"	"Iain Lamont"	NA
