"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"A3"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"B2"	"United Kingdom"	"Human"	"Screen"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"C3"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"D1"	"United Kingdom"	"Human"	"Screen"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"E2"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"F2"	"United Kingdom"	"Human"	"Hyponeutremia"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"G2"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"H3"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP1a"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP1c"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP1d"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP2a"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP2b"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP2c"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP3"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP4"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP5"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP6"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP7"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP8"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP9"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP10a"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP10b"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP11"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP12"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP13"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	"Details"
"LiP14"	"United Kingdom"	"Human"	"Cystic fibrosis"	"No"	"Jane Turton and Dervla Kenna"	NA
