"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"AMT0005-1"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0005-135"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0005-136"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0005-137"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0005-138"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0006-1"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0006-64"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0006-65"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0006-66"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0020-83"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0020-84"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0020-1"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0026-1"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0026-2"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0026-3"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0026-67"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0046-1"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0046-107"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0046-108"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0046-109"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0047-125"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0047-2"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	"Details"
"AMT0071-76"	"USA"	"Human"	"Cystic fibrosis"	"No"	"Jane Burns"	NA
