"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
5985	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5987	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5988.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5988.3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5989	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5990.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5990.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5990.3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5991	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5992	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5993	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5994	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5995	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5996	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5997	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5998	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5999.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5999.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
5999.3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6000.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6000.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6000.3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6001	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6003	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6004	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6085	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6086.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6086.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6087	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6088	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6089	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6090	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6091	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6092.2	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6092.3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6093	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6095	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6096	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6097.1	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6097.3	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6098	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6099	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	"Details"
6102	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Julie Milot"	NA
