"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"3"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"4M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"6"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"7M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"10"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"10M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"12"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"13"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"14"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"16"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"23"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"23M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"32"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"32M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"42"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"42M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"49M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"68"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"69"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"76"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"85"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"88M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"101"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"105"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"106"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"109"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"130"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"133"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"133-1"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"151"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"151M"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"154"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"155"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"155-1"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"165"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"167"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"167-1"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"174"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"175"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	"Details"
"176"	"Italy"	"Human"	"Cystic Fibrosis"	"No"	"Olivier Jousson"	NA
