"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"JYH6"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH7"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH8"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH9"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH10"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH11"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH12"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH13"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH14"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH15"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH16"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH17"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH18"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH19"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH21"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH22"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH23"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH24"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH25"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH26"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH28"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	"Details"
"JYH29"	"Japan"	NA	NA	"Yes"	"Robert Hancock"	NA
