"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"PA-W1"	"United Kingdom"	"Human"	"Spine pressure sore"	"No"	"Stephan Heeb"	"Details"
"PA-W10"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W11"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W13"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W14"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W16"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W18"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W2"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W20"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W21"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W23"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W24"	"United Kingdom"	"Human"	"Burn"	"No"	"Stephan Heeb"	"Details"
"PA-W28"	"United Kingdom"	"Human"	"Ulcer"	"No"	"Stephan Heeb"	"Details"
"PA-W29"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W3"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W30"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W31"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W32"	"United Kingdom"	"Human"	"Burn"	"No"	"Stephan Heeb"	"Details"
"PA-W33"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W34"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W35"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W36"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W37"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W38"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W39"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W4"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W42"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W43"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W44"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W45"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W46"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W47"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W48"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W5"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W6"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W8"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	"Details"
"PA-W9"	"United Kingdom"	"Human"	"Wound"	"No"	"Stephan Heeb"	NA
