"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"VD706"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"VD329"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"297"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"VD564"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"VD171"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"VD609"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"403"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"585"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"359"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"E-500"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"392"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"279"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"358"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"578-A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"578-B"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"506"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"707A"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"282"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"462"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"265"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"354"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"712"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	"Details"
"173"	"Canada"	"Human"	"Cystic fibrosis"	"No"	"Steve Charette"	NA
