"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"AUS127"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS083"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS088"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS476"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS327"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS058"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS304"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS026"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS029"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS702"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS054"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS066"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS073"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS077"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS089"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS093"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS105"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS106"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS148"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS631"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS674"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS675"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS537"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS050"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS434"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS436"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS595"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS074"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS021"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS305"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS720"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS727"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS717"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	"Details"
"AUS719"	"Australia"	"Human"	"Cystic fibrosis"	"No"	"Timothy J. Kidd"	NA
