"STRAINID"	"COUNTRY"	"ANIMAL"	"SOURCE"	"ENV"	"PI"	"DETAILS"
"AUS518"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS195"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS465"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS438"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS209"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS214"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS502"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS217"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS221"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS525"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS222"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS258"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS226"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS227"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS452"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS343"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS516"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS517"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS321"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS339"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS306"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS328"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS504"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS355"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS277"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS527"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS265"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS523"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS503"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS110"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS122"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS125"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS128"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS136"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS139"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS311"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS141"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS506"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS153"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS155"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS156"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS157"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS158"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS174"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS175"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS176"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS177"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS178"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS464"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS500"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS501"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS505"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS507"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS510"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS511"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS512"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS526"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	"Details"
"AUS449"	"Australia"	NA	NA	"Yes"	"Timothy J. Kidd"	NA
