"STRAIN_ID"	"ALIAS_1"	"ALIAS_2"	"COUNTRY"	"HOST"	"SOURCE"	"ENV"	"PI"	"INCLUDE"
"PA-W2"	NA	NA	"UK"	"Human"	"non-CF"	FALSE	"Stephan Heeb"	TRUE
"PA-W6"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W7"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W8"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W9"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W11"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W12"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W13"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W15"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W17"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W18"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W19"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W20"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W22"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W25"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W26"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W27"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W30"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W34"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W35"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W41"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"PA-W47"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W48"	NA	NA	"UK"	"Human"	"WND"	FALSE	"Stephan Heeb"	TRUE
"PA-W49"	NA	NA	"UK"	"Human"	NA	FALSE	"Stephan Heeb"	TRUE
"2S030611BSL_PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"29S030611BSL_PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"37s051011BSL_PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"44s031011BSL_PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"44s031011BSL_PA2"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"66S100212BSL _PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"128S180412BSL_PA2"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"136S260811BSL_PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"136S260811BSL_PA2"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"136S260811BSL_PA3"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"144S190811BSL_PA1"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
"144S190811BSL_PA2"	NA	NA	"CAN"	"Human"	"CF"	FALSE	"Dao Nguyen"	TRUE
