"","GENE","mean","N","sd"
"2","lasR",0.804521027280007,843,0.356826625781258
"3","lasI",0.981752542083227,830,0.0794440519492593
"4","rhlR",0.956593355922014,848,0.164093525157813
"5","rhlI",0.986819196382525,846,0.00617646632402066
"6","pqsA",0.947546211220409,841,0.214123717132726
"7","pqsB",0.988738764051258,841,0.0410244565270227
"8","pqsC",0.991529245059277,845,0.0240552581818568
"9","pqsD",0.984666297911926,844,0.0736212773503744
"10","pqsE",0.988753232282166,846,0.0941139491066027
"11","pqsH",0.990037704692445,845,0.0428557114236895
"12","pqsL",0.989377644098703,844,0.0082553135344158
"13","pqsR",0.96976279809221,850,0.135273311483918
