"MCLX01000029.1 Pseudomonas aeruginosa 39016 IPC1264_29.1, whole genome shotgun sequence"
"MCMA01000025.1 Pseudomonas aeruginosa strain F429 isolate A5803 IPC1272_25.1, whole genome shotgun sequence"
"MCME01000054.1 Pseudomonas aeruginosa strain E429 isolate 15108-1 IPC1268_54.1, whole genome shotgun sequence"
"MCMH01000025.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-34 IPC1261_25.1, whole genome shotgun sequence"
"MCMI01000024.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-30 IPC1260_24.1, whole genome shotgun sequence"
"MCMR01000045.1 Pseudomonas aeruginosa strain E42A(B) isolate LMG14084 IPC92_45.1, whole genome shotgun sequence"
"NSMP01000034.1 Pseudomonas aeruginosa strain G1-WATER-2A IPC1472_34.1, whole genome shotgun sequence"
"NSMV01000006.1 Pseudomonas aeruginosa strain AL191 IPC1350_6.1, whole genome shotgun sequence"
"NSMW01000029.1 Pseudomonas aeruginosa strain PA-W46 IPC1303_29.1, whole genome shotgun sequence"
"NSNG01000039.1 Pseudomonas aeruginosa strain PA-W32 IPC1293_39.1, whole genome shotgun sequence"
"NSNK01000047.1 Pseudomonas aeruginosa strain PA-W24 IPC1289_47.1, whole genome shotgun sequence"
"NSNP01000039.1 Pseudomonas aeruginosa strain PA-W10 IPC1284_39.1, whole genome shotgun sequence"
"NSOG01000036.1 Pseudomonas aeruginosa strain JYH18 IPC1229_36.1, whole genome shotgun sequence"
"NSOQ01000032.1 Pseudomonas aeruginosa strain U2504 IPC1182_32.1, whole genome shotgun sequence"
"NSOS01000010.1 Pseudomonas aeruginosa strain JJ692 IPC1177_10.1, whole genome shotgun sequence"
"NSOX01000046.1 Pseudomonas aeruginosa strain D9 3362 IPC1164_46.1, whole genome shotgun sequence"
"NSPJ01000026.1 Pseudomonas aeruginosa strain C8(T3532) IPC1145_26.1, whole genome shotgun sequence"
"NSQL01000038.1 Pseudomonas aeruginosa strain G2 IPC1057_38.1, whole genome shotgun sequence"
"NSQQ01000028.1 Pseudomonas aeruginosa strain B2 IPC1040_28.1, whole genome shotgun sequence"
"NSQZ01000043.1 Pseudomonas aeruginosa strain 010-4 IPC1015_43.1, whole genome shotgun sequence"
"NSRD01000031.1 Pseudomonas aeruginosa strain DUN-006 IPC1005_31.1, whole genome shotgun sequence"
"NSSL01000049.1 Pseudomonas aeruginosa strain PMM38 IPC888_49.1, whole genome shotgun sequence"
"NSSO01000035.1 Pseudomonas aeruginosa strain TuD199 IPC885_35.1, whole genome shotgun sequence"
"NSSW01000029.1 Pseudomonas aeruginosa strain Bo559 IPC867_29.1, whole genome shotgun sequence"
"NSSX01000028.1 Pseudomonas aeruginosa strain Us411 IPC860_28.1, whole genome shotgun sequence"
"NSSV01000034.1 Pseudomonas aeruginosa strain Cotonu1 IPC875_34.1, whole genome shotgun sequence"
"NSTC01000009.1 Pseudomonas aeruginosa strain LiA96_2004 IPC797_9.1, whole genome shotgun sequence"
"NSTD01000040.1 Pseudomonas aeruginosa strain LiA91_2004 IPC796_40.1, whole genome shotgun sequence"
"NSTH01000025.1 Pseudomonas aeruginosa strain LiA179_2006 IPC785_25.1, whole genome shotgun sequence"
"NSTL01000025.1 Pseudomonas aeruginosa strain LiA131_2005 IPC775_25.1, whole genome shotgun sequence"
"NSTO01000055.1 Pseudomonas aeruginosa strain Jp224 IPC752_55.1, whole genome shotgun sequence"
"NSTM01000056.1 Pseudomonas aeruginosa strain Jp1140 IPC757_56.1, whole genome shotgun sequence"
"NSUF01000030.1 Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_30.1, whole genome shotgun sequence"
"NSUL01000037.1 Pseudomonas aeruginosa strain CND03 IPC706_37.1, whole genome shotgun sequence"
"NSVC01000027.1 Pseudomonas aeruginosa strain Co399645 IPC665_27.1, whole genome shotgun sequence"
"NSVK01000037.1 Pseudomonas aeruginosa strain AMT0071-76 IPC573_37.1, whole genome shotgun sequence"
"NSVM01000016.1 Pseudomonas aeruginosa strain AMT0046-1 IPC560_16.1, whole genome shotgun sequence"
"NSVO01000025.1 Pseudomonas aeruginosa strain AMT0026-3 IPC555_25.1, whole genome shotgun sequence"
"NSVQ01000043.1 Pseudomonas aeruginosa strain AMT0020-84 IPC549_43.1, whole genome shotgun sequence"
"NSXM01000019.1 Pseudomonas aeruginosa strain AUS120 IPC365_19.1, whole genome shotgun sequence"
"NSYC01000031.1 Pseudomonas aeruginosa strain AUS283 IPC323_31.1, whole genome shotgun sequence"
"NSYN01000029.1 Pseudomonas aeruginosa strain AUS321 IPC289_29.1, whole genome shotgun sequence"
"NSYO01000030.1 Pseudomonas aeruginosa strain AUS517 IPC288_30.1, whole genome shotgun sequence"
"NSZK01000023.1 Pseudomonas aeruginosa strain AUS205 IPC224_23.1, whole genome shotgun sequence"
"NTAC01000039.1 Pseudomonas aeruginosa strain 1098 IPC98_39.1, whole genome shotgun sequence"
"NTAI01000046.1 Pseudomonas aeruginosa strain PA-W47 IPC23_46.1, whole genome shotgun sequence"
"NTBB01000047.1 Pseudomonas aeruginosa strain PA-W7 IPC3_47.1, whole genome shotgun sequence"
"NSPQ01000047.1 Pseudomonas aeruginosa strain B1(P2356) IPC1107_47.1, whole genome shotgun sequence"
"NSPI01000001.1 Pseudomonas aeruginosa strain C9(P1814) IPC1147_1.1, whole genome shotgun sequence"
"RXAZ01000014.1 Pseudomonas aeruginosa strain PD1 IPC1377_14.1, whole genome shotgun sequence"
"RXBO01000033.1 Pseudomonas aeruginosa strain JYH29 IPC1240_33.1, whole genome shotgun sequence"
"RXBW01000028.1 Pseudomonas aeruginosa strain JYH11 IPC1222_28.1, whole genome shotgun sequence"
"RXCJ01000026.1 Pseudomonas aeruginosa strain E2758 IPC1126_26.1, whole genome shotgun sequence"
"RXCX01000049.1 Pseudomonas aeruginosa strain Jp1206 IPC761_49.1, whole genome shotgun sequence"
"RXCV01000023.1 Pseudomonas aeruginosa strain W15Apr4 IPC824_23.1, whole genome shotgun sequence"
"RXDA01000045.1 Pseudomonas aeruginosa strain Jp1155 IPC758_45.1, whole genome shotgun sequence"
"RXCZ01000049.1 Pseudomonas aeruginosa strain Jp1170 IPC759_49.1, whole genome shotgun sequence"
"RXCY01000054.1 Pseudomonas aeruginosa strain Jp1200 IPC760_54.1, whole genome shotgun sequence"
"RXFL01000034.1 Pseudomonas aeruginosa strain Jp222 IPC751_33.1, whole genome shotgun sequence"
"RXDJ01000022.1 Pseudomonas aeruginosa strain AMT0026-2 IPC554_22.1, whole genome shotgun sequence"
"RXDK01000024.1 Pseudomonas aeruginosa strain AMT0026-1 IPC553_24.1, whole genome shotgun sequence"
