"NSSP01000003.1 Pseudomonas aeruginosa strain Tu863 IPC884_3.1, whole genome shotgun sequence"
"NSTX01000010.1 Pseudomonas aeruginosa strain CPHL8203 IPC734_10.1, whole genome shotgun sequence"
"RWRB01000008.1 Pseudomonas aeruginosa strain PAC81A IPC179_8.1, whole genome shotgun sequence"
"RWUU01000005.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_5.1, whole genome shotgun sequence"
"MVGY01000013.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_13.1, whole genome shotgun sequence"
"MCLY01000003.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_3.1, whole genome shotgun sequence"
"MCME01000017.1 Pseudomonas aeruginosa strain E429 isolate 15108-1 IPC1268_17.1, whole genome shotgun sequence"
"MCMF01000027.1 Pseudomonas aeruginosa strain D429(Q) isolate Mi162_2 IPC1266_27.1, whole genome shotgun sequence"
"MCMK01000007.1 Pseudomonas aeruginosa strain EC22 isolate AUS52 IPC1258_7.1, whole genome shotgun sequence"
"MCMR01000039.1 Pseudomonas aeruginosa strain E42A(B) isolate LMG14084 IPC92_39.1, whole genome shotgun sequence"
"MCMP01000004.1 Pseudomonas aeruginosa strain 2A42 isolate U018A IPC94_4.1, whole genome shotgun sequence"
"MCMW01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_5.1, whole genome shotgun sequence"
"MCMV01000003.1 Pseudomonas aeruginosa strain 3C52(K) isolate 968333S IPC86_3.1, whole genome shotgun sequence"
"MCMX01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27 IPC84_5.1, whole genome shotgun sequence"
"NSNE01000002.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_2.1, whole genome shotgun sequence"
"NSNI01000007.1 Pseudomonas aeruginosa strain PA-W29 IPC1291_7.1, whole genome shotgun sequence"
"NSNM01000020.1 Pseudomonas aeruginosa strain PA-W21 IPC1287_20.1, whole genome shotgun sequence"
"NSNK01000002.1 Pseudomonas aeruginosa strain PA-W24 IPC1289_2.1, whole genome shotgun sequence"
"NSNO01000006.1 Pseudomonas aeruginosa strain PA-W14 IPC1285_6.1, whole genome shotgun sequence"
"NSNP01000007.1 Pseudomonas aeruginosa strain PA-W10 IPC1284_7.1, whole genome shotgun sequence"
"NSOJ01000004.1 Pseudomonas aeruginosa strain JYH12 IPC1223_4.1, whole genome shotgun sequence"
"NSOL01000003.1 Pseudomonas aeruginosa strain JYH8 IPC1219_3.1, whole genome shotgun sequence"
"NSOU01000003.1 Pseudomonas aeruginosa strain CF27 IPC1173_3.1, whole genome shotgun sequence"
"NSOR01000003.1 Pseudomonas aeruginosa strain S54485 IPC1180_3.1, whole genome shotgun sequence"
"NSOX01000006.1 Pseudomonas aeruginosa strain D9 3362 IPC1164_6.1, whole genome shotgun sequence"
"NSPK01000008.1 Pseudomonas aeruginosa strain E1(T4189) IPC1138_8.1, whole genome shotgun sequence"
"NSQH01000007.1 Pseudomonas aeruginosa strain LiP1d IPC1070_7.1, whole genome shotgun sequence"
"NSQL01000005.1 Pseudomonas aeruginosa strain G2 IPC1057_5.1, whole genome shotgun sequence"
"NSQP01000001.1 Pseudomonas aeruginosa strain C3 IPC1043_1.1, whole genome shotgun sequence"
"NSQQ01000001.1 Pseudomonas aeruginosa strain B2 IPC1040_1.1, whole genome shotgun sequence"
"NSQZ01000002.1 Pseudomonas aeruginosa strain 010-4 IPC1015_2.1, whole genome shotgun sequence"
"NSQY01000001.1 Pseudomonas aeruginosa strain DUN-013 IPC1018_1.1, whole genome shotgun sequence"
"NSRC01000002.1 Pseudomonas aeruginosa strain DUN-007-2 IPC1006_2.1, whole genome shotgun sequence"
"NSRD01000006.1 Pseudomonas aeruginosa strain DUN-006 IPC1005_6.1, whole genome shotgun sequence"
"NSRS01000003.1 Pseudomonas aeruginosa strain U451 IPC976_3.1, whole genome shotgun sequence"
"NSRW01000002.1 Pseudomonas aeruginosa strain U397A IPC954_2.1, whole genome shotgun sequence"
"NSRX01000002.1 Pseudomonas aeruginosa strain U372 IPC948_2.1, whole genome shotgun sequence"
"NSRY01000004.1 Pseudomonas aeruginosa strain U350 IPC946_4.1, whole genome shotgun sequence"
"NSSB01000002.1 Pseudomonas aeruginosa strain U0306 IPC934_2.1, whole genome shotgun sequence"
"NSSD01000009.1 Pseudomonas aeruginosa strain U0284 IPC924_9.1, whole genome shotgun sequence"
"NSSE01000002.1 Pseudomonas aeruginosa strain U0272B IPC922_2.1, whole genome shotgun sequence"
"NSSI01000002.1 Pseudomonas aeruginosa strain S2820 IPC905_2.1, whole genome shotgun sequence"
"NSSK01000003.1 Pseudomonas aeruginosa strain S2239_15 IPC902_3.1, whole genome shotgun sequence"
"NSSN01000005.1 Pseudomonas aeruginosa strain Pae110 IPC886_5.1, whole genome shotgun sequence"
"NSSQ01000019.1 Pseudomonas aeruginosa strain PT31M IPC881_19.1, whole genome shotgun sequence"
"NSSO01000001.1 Pseudomonas aeruginosa strain TuD199 IPC885_1.1, whole genome shotgun sequence"
"NSSS01000012.1 Pseudomonas aeruginosa strain Lw1047 IPC879_12.1, whole genome shotgun sequence"
"NSSU01000008.1 Pseudomonas aeruginosa strain LMG2107 IPC877_8.1, whole genome shotgun sequence"
"NSSW01000001.1 Pseudomonas aeruginosa strain Bo559 IPC867_1.1, whole genome shotgun sequence"
"NSSV01000005.1 Pseudomonas aeruginosa strain Cotonu1 IPC875_5.1, whole genome shotgun sequence"
"NSTC01000018.1 Pseudomonas aeruginosa strain LiA96_2004 IPC797_18.1, whole genome shotgun sequence"
"NSTD01000018.1 Pseudomonas aeruginosa strain LiA91_2004 IPC796_18.1, whole genome shotgun sequence"
"NSTH01000010.1 Pseudomonas aeruginosa strain LiA179_2006 IPC785_10.1, whole genome shotgun sequence"
"NSTL01000023.1 Pseudomonas aeruginosa strain LiA131_2005 IPC775_23.1, whole genome shotgun sequence"
"NSTP01000003.1 Pseudomonas aeruginosa strain Jp97 IPC749_3.1, whole genome shotgun sequence"
"NSUF01000007.1 Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_7.1, whole genome shotgun sequence"
"NSUI01000003.1 Pseudomonas aeruginosa strain C3128 IPC715_3.1, whole genome shotgun sequence"
"NSUQ01000005.1 Pseudomonas aeruginosa strain Mex2 IPC698_5.1, whole genome shotgun sequence"
"NSUR01000010.1 Pseudomonas aeruginosa strain A237 IPC696_10.1, whole genome shotgun sequence"
"NSVK01000024.1 Pseudomonas aeruginosa strain AMT0071-76 IPC573_24.1, whole genome shotgun sequence"
"NSVM01000001.1 Pseudomonas aeruginosa strain AMT0046-1 IPC560_1.1, whole genome shotgun sequence"
"NSVP01000003.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_3.1, whole genome shotgun sequence"
"NSVO01000005.1 Pseudomonas aeruginosa strain AMT0026-3 IPC555_5.1, whole genome shotgun sequence"
"NSVQ01000021.1 Pseudomonas aeruginosa strain AMT0020-84 IPC549_21.1, whole genome shotgun sequence"
"NSVR01000001.1 Pseudomonas aeruginosa strain AMT0006-66 IPC547_1.1, whole genome shotgun sequence"
"NSVU01000001.1 Pseudomonas aeruginosa strain AMT0005-1 IPC539_1.1, whole genome shotgun sequence"
"NSVX01000009.1 Pseudomonas aeruginosa strain AUS149 IPC509_9.1, whole genome shotgun sequence"
"NSWA01000003.1 Pseudomonas aeruginosa strain AUS305 IPC506_3.1, whole genome shotgun sequence"
"NSVY01000003.1 Pseudomonas aeruginosa strain AUS309 IPC508_3.1, whole genome shotgun sequence"
"NSVZ01000004.1 Pseudomonas aeruginosa strain AUS307 IPC507_4.1, whole genome shotgun sequence"
