"NSSG01000028.1 Pseudomonas aeruginosa strain S1983 IPC908_28.1, whole genome shotgun sequence"
"NSSI01000008.1 Pseudomonas aeruginosa strain S2820 IPC905_8.1, whole genome shotgun sequence"
"NSSK01000010.1 Pseudomonas aeruginosa strain S2239_15 IPC902_10.1, whole genome shotgun sequence"
"NSSN01000001.1 Pseudomonas aeruginosa strain Pae110 IPC886_1.1, whole genome shotgun sequence"
"NSTU01000011.1 Pseudomonas aeruginosa strain CPHL10701 IPC738_11.1, whole genome shotgun sequence"
"NSYF01000017.1 Pseudomonas aeruginosa strain AUS238 IPC309_17.1, whole genome shotgun sequence"
"RWNV01000011.1 Pseudomonas aeruginosa strain 6092.3 IPC1340_11.1, whole genome shotgun sequence"
"RWNW01000001.1 Pseudomonas aeruginosa strain 6092.2 IPC1339_1.1, whole genome shotgun sequence"
"RWUN01000017.1 Pseudomonas aeruginosa strain 197S020911BSL_PA4 IPC49_17.1, whole genome shotgun sequence"
"RWUP01000012.1 Pseudomonas aeruginosa strain 197S020911BSL_PA2 IPC47_12.1, whole genome shotgun sequence"
"RWUQ01000015.1 Pseudomonas aeruginosa strain 197S020911BSL_PA1 IPC46_15.1, whole genome shotgun sequence"
"RWUV01000013.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA1 IPC41_13.1, whole genome shotgun sequence"
"RWVA01000016.1 Pseudomonas aeruginosa strain 136S260811BSL_PA2 IPC35_16.1, whole genome shotgun sequence"
"RWUZ01000016.1 Pseudomonas aeruginosa strain 136S260811BSL_PA3 IPC36_16.1, whole genome shotgun sequence"
"RWVB01000014.1 Pseudomonas aeruginosa strain 136S260811BSL_PA1 IPC34_14.1, whole genome shotgun sequence"
"RWUU01000024.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_24.1, whole genome shotgun sequence"
"MCMN01000018.1 Pseudomonas aeruginosa strain 2D9A isolate AUS23 IPC1103_18.1, whole genome shotgun sequence"
"MCLZ01000011.1 Pseudomonas aeruginosa strain 3C52 isolate TBCF10839 IPC1273_11.1, whole genome shotgun sequence"
"MCMC01000006.1 Pseudomonas aeruginosa strain EA0A isolate 39177 IPC1270_6.1, whole genome shotgun sequence"
"MCMM01000012.1 Pseudomonas aeruginosa strain 4012(0) isolate C3719 IPC1256_12.1, whole genome shotgun sequence"
"MCMQ01000010.1 Pseudomonas aeruginosa strain FA0A isolate Pr335 IPC93_10.1, whole genome shotgun sequence"
"MCMT01000010.1 Pseudomonas aeruginosa strain 6822 isolate NH57388A IPC88_10.1, whole genome shotgun sequence"
"MCMV01000012.1 Pseudomonas aeruginosa strain 3C52(K) isolate 968333S IPC86_12.1, whole genome shotgun sequence"
"MCMY01000010.1 Pseudomonas aeruginosa strain 55AA isolate PAK IPC83_10.1, whole genome shotgun sequence"
"MCMZ01000010.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-3 IPC82_10.1, whole genome shotgun sequence"
"MCNA01000010.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-2 IPC81_10.1, whole genome shotgun sequence"
"MCNB01000009.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-1 IPC80_9.1, whole genome shotgun sequence"
"NSMR01000009.1 Pseudomonas aeruginosa strain E2-DN-2 IPC1470_9.1, whole genome shotgun sequence"
"NSMX01000013.1 Pseudomonas aeruginosa strain PA-W45 IPC1302_13.1, whole genome shotgun sequence"
"NSNC01000022.1 Pseudomonas aeruginosa strain PA-W38 IPC1297_22.1, whole genome shotgun sequence"
"NSNJ01000013.1 Pseudomonas aeruginosa strain PA-W28 IPC1290_13.1, whole genome shotgun sequence"
"NSOC01000009.1 Pseudomonas aeruginosa strain JYH28 IPC1239_9.1, whole genome shotgun sequence"
"NSOM01000018.1 Pseudomonas aeruginosa strain JYH6 IPC1217_18.1, whole genome shotgun sequence"
"NSOO01000021.1 Pseudomonas aeruginosa strain HB159 IPC1190_21.1, whole genome shotgun sequence"
"NSON01000001.1 Pseudomonas aeruginosa strain HB392 IPC1191_1.1, whole genome shotgun sequence"
"NSOY01000012.1 Pseudomonas aeruginosa strain HM324 IPC1163_12.1, whole genome shotgun sequence"
"NSOZ01000007.1 Pseudomonas aeruginosa strain HM308 IPC1162_7.1, whole genome shotgun sequence"
"NSPC01000014.1 Pseudomonas aeruginosa strain HM301 IPC1159_14.1, whole genome shotgun sequence"
"NSPA01000002.1 Pseudomonas aeruginosa strain HM307 IPC1161_2.1, whole genome shotgun sequence"
"NSPD01000014.1 Pseudomonas aeruginosa strain HM300 IPC1158_14.1, whole genome shotgun sequence"
"NSPG01000009.1 Pseudomonas aeruginosa strain HM293 IPC1155_9.1, whole genome shotgun sequence"
"NSPB01000009.1 Pseudomonas aeruginosa strain HM306 IPC1160_9.1, whole genome shotgun sequence"
"NSPF01000012.1 Pseudomonas aeruginosa strain HM294 IPC1156_12.1, whole genome shotgun sequence"
"NSPE01000012.1 Pseudomonas aeruginosa strain HM299 IPC1157_12.1, whole genome shotgun sequence"
"NSPH01000010.1 Pseudomonas aeruginosa strain E9(4068) IPC1152_10.1, whole genome shotgun sequence"
"NSQK01000019.1 Pseudomonas aeruginosa strain H3 IPC1060_19.1, whole genome shotgun sequence"
"NSQM01000007.1 Pseudomonas aeruginosa strain F2 IPC1053_7.1, whole genome shotgun sequence"
"NSQS01000017.1 Pseudomonas aeruginosa strain DUN-001A IPC1035_17.1, whole genome shotgun sequence"
"NSQR01000009.1 Pseudomonas aeruginosa strain A3 IPC1038_9.1, whole genome shotgun sequence"
"NSQV01000018.1 Pseudomonas aeruginosa strain DUN-018 IPC1031_18.1, whole genome shotgun sequence"
"NSRL01000017.1 Pseudomonas aeruginosa strain DUN-001-3B IPC984_17.1, whole genome shotgun sequence"
"NSRH01000017.1 Pseudomonas aeruginosa strain 001-6 IPC988_17.1, whole genome shotgun sequence"
"NSRI01000019.1 Pseudomonas aeruginosa strain 001-5B IPC987_19.1, whole genome shotgun sequence"
"NSRK01000016.1 Pseudomonas aeruginosa strain DUN-001-4 IPC985_16.1, whole genome shotgun sequence"
"NSRJ01000018.1 Pseudomonas aeruginosa strain 001-5A IPC986_18.1, whole genome shotgun sequence"
"NSRN01000015.1 Pseudomonas aeruginosa strain DUN-001-2B IPC982_15.1, whole genome shotgun sequence"
"NSRO01000019.1 Pseudomonas aeruginosa strain DUN-001-2A IPC981_19.1, whole genome shotgun sequence"
"NSRM01000014.1 Pseudomonas aeruginosa strain DUN-001-3A IPC983_14.1, whole genome shotgun sequence"
