"MVGV01000005.1 Pseudomonas aeruginosa strain ATCC BAA-2108 IPC1576_5.1, whole genome shotgun sequence"
"MVGX01000004.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_4.1, whole genome shotgun sequence"
"MVGY01000004.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_4.1, whole genome shotgun sequence"
"MCLY01000003.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_3.1, whole genome shotgun sequence"
"MCML01000001.1 Pseudomonas aeruginosa strain E82A isolate AES-1R IPC1257_1.1, whole genome shotgun sequence"
"MCMM01000002.1 Pseudomonas aeruginosa strain 4012(0) isolate C3719 IPC1256_2.1, whole genome shotgun sequence"
"MCMT01000006.1 Pseudomonas aeruginosa strain 6822 isolate NH57388A IPC88_6.1, whole genome shotgun sequence"
"MCMZ01000024.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-3 IPC82_24.1, whole genome shotgun sequence"
"MCNA01000025.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-2 IPC81_25.1, whole genome shotgun sequence"
"MCNB01000027.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-1 IPC80_27.1, whole genome shotgun sequence"
"NSNI01000004.1 Pseudomonas aeruginosa strain PA-W29 IPC1291_4.1, whole genome shotgun sequence"
"NSNN01000001.1 Pseudomonas aeruginosa strain PA-W16 IPC1286_1.1, whole genome shotgun sequence"
"NSNL01000003.1 Pseudomonas aeruginosa strain PA-W23 IPC1288_3.1, whole genome shotgun sequence"
"NSNJ01000001.1 Pseudomonas aeruginosa strain PA-W28 IPC1290_1.1, whole genome shotgun sequence"
"NSOD01000028.1 Pseudomonas aeruginosa strain JYH26 IPC1237_28.1, whole genome shotgun sequence"
"NSOP01000001.1 Pseudomonas aeruginosa strain X24509 IPC1184_1.1, whole genome shotgun sequence"
"NSON01000003.1 Pseudomonas aeruginosa strain HB392 IPC1191_3.1, whole genome shotgun sequence"
"NSOO01000003.1 Pseudomonas aeruginosa strain HB159 IPC1190_3.1, whole genome shotgun sequence"
"NSOW01000001.1 Pseudomonas aeruginosa E2 IPC1165_1.1, whole genome shotgun sequence"
"NSPR01000004.1 Pseudomonas aeruginosa strain LiP14 IPC1086_4.1, whole genome shotgun sequence"
"NSPS01000001.1 Pseudomonas aeruginosa strain LiP13 IPC1085_1.1, whole genome shotgun sequence"
"NSPT01000001.1 Pseudomonas aeruginosa strain LiP12 IPC1084_1.1, whole genome shotgun sequence"
"NSPV01000001.1 Pseudomonas aeruginosa strain LiP10b IPC1082_1.1, whole genome shotgun sequence"
"NSPW01000001.1 Pseudomonas aeruginosa strain LiP10a IPC1081_1.1, whole genome shotgun sequence"
"NSPX01000001.1 Pseudomonas aeruginosa strain LiP9 IPC1080_1.1, whole genome shotgun sequence"
"NSPU01000001.1 Pseudomonas aeruginosa strain LiP11 IPC1083_1.1, whole genome shotgun sequence"
"NSQB01000001.1 Pseudomonas aeruginosa strain LiP5 IPC1076_1.1, whole genome shotgun sequence"
"NSPY01000001.1 Pseudomonas aeruginosa strain LiP8 IPC1079_1.1, whole genome shotgun sequence"
"NSPZ01000002.1 Pseudomonas aeruginosa strain LiP7 IPC1078_2.1, whole genome shotgun sequence"
