"MVGX01000007.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_7.1, whole genome shotgun sequence"
"MVGY01000006.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_6.1, whole genome shotgun sequence"
"MVHA01000002.1 Pseudomonas aeruginosa strain ATCC BAA-2113 IPC1581_2.1, whole genome shotgun sequence"
"MCMN01000006.1 Pseudomonas aeruginosa strain 2D9A isolate AUS23 IPC1103_6.1, whole genome shotgun sequence"
"MCLY01000006.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_6.1, whole genome shotgun sequence"
"MCMB01000004.1 Pseudomonas aeruginosa strain 1BAE isolate KK1 IPC1271_4.1, whole genome shotgun sequence"
"MCMH01000017.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-34 IPC1261_17.1, whole genome shotgun sequence"
"MCMG01000006.1 Pseudomonas aeruginosa strain EC2A isolate CHA IPC1262_6.1, whole genome shotgun sequence"
"MCMI01000015.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0023-30 IPC1260_15.1, whole genome shotgun sequence"
"MCML01000004.1 Pseudomonas aeruginosa strain E82A isolate AES-1R IPC1257_4.1, whole genome shotgun sequence"
"MCMT01000003.1 Pseudomonas aeruginosa strain 6822 isolate NH57388A IPC88_3.1, whole genome shotgun sequence"
"NSMQ01000004.1 Pseudomonas aeruginosa strain F1-DN-2 IPC1471_4.1, whole genome shotgun sequence"
"NSMT01000006.1 Pseudomonas aeruginosa strain AL561 IPC1353_6.1, whole genome shotgun sequence"
"NSMZ01000004.1 Pseudomonas aeruginosa strain PA-W43 IPC1300_4.1, whole genome shotgun sequence"
"NSNI01000009.1 Pseudomonas aeruginosa strain PA-W29 IPC1291_9.1, whole genome shotgun sequence"
"NSOC01000005.1 Pseudomonas aeruginosa strain JYH28 IPC1239_5.1, whole genome shotgun sequence"
"NSOD01000001.1 Pseudomonas aeruginosa strain JYH26 IPC1237_1.1, whole genome shotgun sequence"
"NSOJ01000024.1 Pseudomonas aeruginosa strain JYH12 IPC1223_24.1, whole genome shotgun sequence"
"NSOE01000004.1 Pseudomonas aeruginosa strain JYH24 IPC1235_4.1, whole genome shotgun sequence"
"NSOI01000471.1 Pseudomonas aeruginosa strain JYH14 IPC1225_471.1, whole genome shotgun sequence"
"NSOU01000005.1 Pseudomonas aeruginosa strain CF27 IPC1173_5.1, whole genome shotgun sequence"
"NSOV01000019.1 Pseudomonas aeruginosa strain CF5 IPC1171_19.1, whole genome shotgun sequence"
"NSOT01000005.1 Pseudomonas aeruginosa strain CF127 IPC1174_5.1, whole genome shotgun sequence"
"NSOW01000005.1 Pseudomonas aeruginosa E2 IPC1165_5.1, whole genome shotgun sequence"
"NSPK01000006.1 Pseudomonas aeruginosa strain E1(T4189) IPC1138_6.1, whole genome shotgun sequence"
"NSPR01000007.1 Pseudomonas aeruginosa strain LiP14 IPC1086_7.1, whole genome shotgun sequence"
"NSPS01000005.1 Pseudomonas aeruginosa strain LiP13 IPC1085_5.1, whole genome shotgun sequence"
"NSPT01000004.1 Pseudomonas aeruginosa strain LiP12 IPC1084_4.1, whole genome shotgun sequence"
"NSPV01000004.1 Pseudomonas aeruginosa strain LiP10b IPC1082_4.1, whole genome shotgun sequence"
"NSPW01000004.1 Pseudomonas aeruginosa strain LiP10a IPC1081_4.1, whole genome shotgun sequence"
"NSPX01000004.1 Pseudomonas aeruginosa strain LiP9 IPC1080_4.1, whole genome shotgun sequence"
"NSPU01000003.1 Pseudomonas aeruginosa strain LiP11 IPC1083_3.1, whole genome shotgun sequence"
"NSPY01000015.1 Pseudomonas aeruginosa strain LiP8 IPC1079_15.1, whole genome shotgun sequence"
"NSQB01000003.1 Pseudomonas aeruginosa strain LiP5 IPC1076_3.1, whole genome shotgun sequence"
"NSPZ01000003.1 Pseudomonas aeruginosa strain LiP7 IPC1078_3.1, whole genome shotgun sequence"
"NSQA01000004.1 Pseudomonas aeruginosa strain LiP6 IPC1077_4.1, whole genome shotgun sequence"
"NSQE01000007.1 Pseudomonas aeruginosa strain LiP2c IPC1073_7.1, whole genome shotgun sequence"
"NSQF01000003.1 Pseudomonas aeruginosa strain LiP2b IPC1072_3.1, whole genome shotgun sequence"
"NSQD01000003.1 Pseudomonas aeruginosa strain LiP3 IPC1074_3.1, whole genome shotgun sequence"
"NSQG01000003.1 Pseudomonas aeruginosa strain LiP2a IPC1071_3.1, whole genome shotgun sequence"
"NSQJ01000004.1 Pseudomonas aeruginosa strain LiP1a IPC1067_4.1, whole genome shotgun sequence"
"NSQI01000004.1 Pseudomonas aeruginosa strain LiP1c IPC1069_4.1, whole genome shotgun sequence"
"NSQN01000004.1 Pseudomonas aeruginosa strain E2_H133420224 IPC1048_4.1, whole genome shotgun sequence"
"NSQT01000007.1 Pseudomonas aeruginosa strain DUN-024-1 IPC1034_7.1, whole genome shotgun sequence"
"NSQW01000023.1 Pseudomonas aeruginosa strain DUN-015A IPC1027_23.1, whole genome shotgun sequence"
"NSRG01000005.1 Pseudomonas aeruginosa strain DUN-002C IPC991_5.1, whole genome shotgun sequence"
"NSRR01000001.1 Pseudomonas aeruginosa strain U454A IPC977_1.1, whole genome shotgun sequence"
"NSRU01000011.1 Pseudomonas aeruginosa strain U421 IPC965_11.1, whole genome shotgun sequence"
"NSRT01000005.1 Pseudomonas aeruginosa strain U435 IPC971_5.1, whole genome shotgun sequence"
"NSRZ01000004.1 Pseudomonas aeruginosa strain U0330A IPC940_4.1, whole genome shotgun sequence"
"NSSA01000002.1 Pseudomonas aeruginosa strain U0310A IPC935_2.1, whole genome shotgun sequence"
"NSSB01000004.1 Pseudomonas aeruginosa strain U0306 IPC934_4.1, whole genome shotgun sequence"
"NSSC01000006.1 Pseudomonas aeruginosa strain U0288B IPC927_6.1, whole genome shotgun sequence"
"NSSM01000003.1 Pseudomonas aeruginosa strain JD303 IPC887_3.1, whole genome shotgun sequence"
"NSSS01000007.1 Pseudomonas aeruginosa strain Lw1047 IPC879_7.1, whole genome shotgun sequence"
"NSSR01000035.1 Pseudomonas aeruginosa strain PhDW6 IPC880_35.1, whole genome shotgun sequence"
"NSSX01000006.1 Pseudomonas aeruginosa strain Us411 IPC860_6.1, whole genome shotgun sequence"
"NSSZ01000013.1 Pseudomonas aeruginosa strain Mi159 IPC856_13.1, whole genome shotgun sequence"
"NSTB01000022.1 Pseudomonas aeruginosa strain W5Aug16 IPC830_22.1, whole genome shotgun sequence"
"NSTA01000030.1 Pseudomonas aeruginosa strain Br670 IPC838_30.1, whole genome shotgun sequence"
"NSTI01000006.1 Pseudomonas aeruginosa strain LiA161_2005 IPC782_6.1, whole genome shotgun sequence"
"NSTF01000002.1 Pseudomonas aeruginosa strain LiA50_2005 IPC789_2.1, whole genome shotgun sequence"
"NSTN01000017.1 Pseudomonas aeruginosa strain Jp245 IPC756_17.1, whole genome shotgun sequence"
"NSTU01000005.1 Pseudomonas aeruginosa strain CPHL10701 IPC738_5.1, whole genome shotgun sequence"
"NSUD01000005.1 Pseudomonas aeruginosa strain CPHL950 IPC727_5.1, whole genome shotgun sequence"
"NSUG01000008.1 Pseudomonas aeruginosa strain IC1 IPC720_8.1, whole genome shotgun sequence"
"NSUM01000005.1 Pseudomonas aeruginosa strain CN573=PSE143 IPC705_5.1, whole genome shotgun sequence"
"NSUN01000005.1 Pseudomonas aeruginosa strain 59.20 IPC703_5.1, whole genome shotgun sequence"
"NSUS01000023.1 Pseudomonas aeruginosa strain A22 IPC695_23.1, whole genome shotgun sequence"
"NSUT01000008.1 Pseudomonas aeruginosa strain A19 IPC694_8.1, whole genome shotgun sequence"
"NSUX01000007.1 Pseudomonas aeruginosa strain A11 IPC690_7.1, whole genome shotgun sequence"
"NSUW01000006.1 Pseudomonas aeruginosa strain A13 IPC691_6.1, whole genome shotgun sequence"
"NSVC01000005.1 Pseudomonas aeruginosa strain Co399645 IPC665_5.1, whole genome shotgun sequence"
"NSVJ01000010.1 Pseudomonas aeruginosa strain Rsan-ver IPC593_10.1, whole genome shotgun sequence"
"NSVM01000001.1 Pseudomonas aeruginosa strain AMT0046-1 IPC560_1.1, whole genome shotgun sequence"
"NSVN01000028.1 Pseudomonas aeruginosa strain AMT0026-67 IPC556_28.1, whole genome shotgun sequence"
"NSVT01000004.1 Pseudomonas aeruginosa strain AMT0005-138 IPC543_4.1, whole genome shotgun sequence"
"NSVV01000006.1 Pseudomonas aeruginosa strain AUS719 IPC534_6.1, whole genome shotgun sequence"
"NSVS01000004.1 Pseudomonas aeruginosa strain AMT0006-1 IPC544_4.1, whole genome shotgun sequence"
"NSVW01000004.1 Pseudomonas aeruginosa strain AUS720 IPC510_4.1, whole genome shotgun sequence"
"NSWA01000005.1 Pseudomonas aeruginosa strain AUS305 IPC506_5.1, whole genome shotgun sequence"
"NSVX01000006.1 Pseudomonas aeruginosa strain AUS149 IPC509_6.1, whole genome shotgun sequence"
"NSVY01000006.1 Pseudomonas aeruginosa strain AUS309 IPC508_6.1, whole genome shotgun sequence"
"NSVZ01000008.1 Pseudomonas aeruginosa strain AUS307 IPC507_8.1, whole genome shotgun sequence"
"NSWB01000005.1 Pseudomonas aeruginosa strain AUS345 IPC496_5.1, whole genome shotgun sequence"
"NSWC01000005.1 Pseudomonas aeruginosa strain AUS344 IPC495_5.1, whole genome shotgun sequence"
"NSWD01000005.1 Pseudomonas aeruginosa strain AUS021 IPC494_5.1, whole genome shotgun sequence"
"NSWI01000029.1 Pseudomonas aeruginosa strain AUS441 IPC476_29.1, whole genome shotgun sequence"
"NSWF01000018.1 Pseudomonas aeruginosa strain AUS457 IPC483_18.1, whole genome shotgun sequence"
"NSWG01000002.1 Pseudomonas aeruginosa strain AUS595 IPC478_2.1, whole genome shotgun sequence"
"NSWH01000028.1 Pseudomonas aeruginosa strain AUS442 IPC477_28.1, whole genome shotgun sequence"
"NSWK01000031.1 Pseudomonas aeruginosa strain AUS439 IPC474_31.1, whole genome shotgun sequence"
"NSWJ01000026.1 Pseudomonas aeruginosa strain AUS440 IPC475_26.1, whole genome shotgun sequence"
"NSWL01000001.1 Pseudomonas aeruginosa strain AUS436 IPC472_1.1, whole genome shotgun sequence"
"NSWM01000003.1 Pseudomonas aeruginosa strain AUS434 IPC471_3.1, whole genome shotgun sequence"
"NSWT01000029.1 Pseudomonas aeruginosa strain AUS353 IPC452_29.1, whole genome shotgun sequence"
"NSWP01000004.1 Pseudomonas aeruginosa strain AUS675 IPC463_4.1, whole genome shotgun sequence"
"NSWR01000013.1 Pseudomonas aeruginosa strain AUS631 IPC460_13.1, whole genome shotgun sequence"
"NSWS01000005.1 Pseudomonas aeruginosa strain AUS263 IPC453_5.1, whole genome shotgun sequence"
"NSWX01000004.1 Pseudomonas aeruginosa strain AUS491 IPC440_4.1, whole genome shotgun sequence"
"NSXB01000006.1 Pseudomonas aeruginosa strain AUS430 IPC430_6.1, whole genome shotgun sequence"
"NSXC01000004.1 Pseudomonas aeruginosa strain AUS392 IPC426_4.1, whole genome shotgun sequence"
"NSXD01000005.1 Pseudomonas aeruginosa strain AUS165 IPC404_5.1, whole genome shotgun sequence"
"NSXE01000005.1 Pseudomonas aeruginosa strain AUS154 IPC393_5.1, whole genome shotgun sequence"
"NSXH01000003.1 Pseudomonas aeruginosa strain AUS506 IPC389_3.1, whole genome shotgun sequence"
"NSXK01000004.1 Pseudomonas aeruginosa strain AUS134 IPC375_4.1, whole genome shotgun sequence"
"NSXL01000005.1 Pseudomonas aeruginosa strain AUS124 IPC368_5.1, whole genome shotgun sequence"
"NSXP01000005.1 Pseudomonas aeruginosa strain AUS106 IPC355_5.1, whole genome shotgun sequence"
"NSXR01000005.1 Pseudomonas aeruginosa strain AUS503 IPC353_5.1, whole genome shotgun sequence"
