,gene,n_base,n_allGenes,n_genes,n_unique_strains,n_unique_seqs,p_incomplete,mean_len,n_unique/n_bases
lasI,lasI,606,833,809,809,61,0,0.999351357,0.100660066
lasR,lasR,720,871,758,756,259,0.055408971,0.971252932,0.359722222
mucA,mucA,585,862,713,713,120,0.162692847,0.993756968,0.205128205
pqsA,pqsA,1554,851,790,790,170,0.021518987,0.998301647,0.109395109
pqsB,pqsB,852,847,822,822,103,0.00243309,0.999942885,0.120892019
pqsC,pqsC,1047,849,823,823,128,0.001215067,0.999372157,0.122254059
pqsD,pqsD,1014,849,820,820,125,0.006097561,0.999111223,0.123274162
pqsE,pqsE,906,851,818,818,117,0.007334963,0.999481857,0.129139073
pqsH,pqsH,1149,853,829,829,189,0,0.999560115,0.164490862
pqsL,pqsL,1197,850,827,827,169,0,0.998330166,0.141186299
pqsR,pqsR,999,861,818,818,122,0.012224939,0.992151075,0.122122122
qscR,qscR,714,851,823,823,98,0.001215067,0.998698143,0.137254902
rhlI,rhlI,606,850,827,827,87,0,1.000017958,0.143564356
rhlR,rhlR,726,855,820,819,133,0.012195122,0.996029026,0.183195592
rpsL,rpsL,372,852,829,829,27,0,1,0.072580645
rsaL,rsaL,243,830,806,806,18,0,0.999994894,0.074074074
vqsR,vqsR,807,850,816,816,89,0.011029412,0.998823104,0.110285006
